GEO_ID,Division,Population,Male(%),Female(%),Median_age,Hispanic+Latino(%),White(%),Black(%),Amr_Indian+Alaska(%),Asian(%),Hawaiian(%),Other_race(%),More_races(%),Housing_units,Household_Median_Income (dollar) ,<9th_grade(%) ,High_school_or_higher(%),Bachelor_or_higher(%),Population_(16yr<),In_labor_force(%),Household_with_children (6~ 17yr),All_parents_in_labor_force_with_child(6~17yr)(%),Workers (16yr<),Mean_Commuting_time (minutes),With_health_insurance(%),Private_health_insurance(%),With_public_coverage(%),Num_Households,computing_devices>=1(%),Internet_access(%)
0500000US51079,Greene County,20374,0.48,0.52,40,6.3,80.3,6.2,0.2,2.1,0.1,1.4,3.4,8420,73844,3.92,88,29,"16,177",67.8,"3,349",76.3,"10,168",32.4,91.8,73.4,33.1,7533,94.6,87.65
0500000US51081,Greensville County,11465,0.63,0.37,40,2.6,36,54.5,0.1,0.1,0,0.1,6.7,4029,53063,6.38,77,11,"9,894",40,"1,101",61.9,"3,572",23.1,89.4,58.2,48,3183,86.8,78.86
0500000US51083,Halifax County,34228,0.48,0.52,46,2.3,59.6,35,0.1,0.2,0,0,2.9,17387,45962,7.24,83,16,"28,149",51.8,"4,622",70.4,"13,534",24.6,92.2,59.2,49.3,13506,72.33,63.64
0500000US51085,Hanover County,109232,0.49,0.51,42,3.2,82.7,8.4,0.2,1.7,0,0.3,3.4,42692,96911,2.1,94,41,"88,340",67.2,"16,716",80.4,"56,652",26.9,95.1,82.1,27.1,40310,94.8,89.84
0500000US51087,Henrico County,331924,0.48,0.52,39,6,51.5,29.4,0.1,9.2,0,0.4,3.4,139826,76345,2.87,93,45,"264,815",69.2,"49,652",77.5,"171,941",22.5,93.1,76.7,28.6,132465,94.08,89.64
0500000US51089,Henry County,51077,0.48,0.52,48,5.9,69.1,22.7,0,0.6,0,0.2,1.6,25545,41103,7.57,81,15,"42,064",51.6,"6,534",74.8,"19,666",24.6,91.1,52.6,52,20516,81.87,72.72
0500000US51091,Highland County,2229,0.47,0.53,57,0,92.3,0,0,3.1,0,0,4.6,1800,52901,3.2,92,28,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,987,81.97,76.09
0500000US51093,Isle of Wight County,38301,0.5,0.5,44,3.8,69.8,22.2,0.1,0.9,0,0.1,3.1,16304,84673,2.21,91,29,"31,218",65,"5,525",84.2,"18,553",30,93.7,78.7,31.4,15063,90.44,82.12
0500000US51097,King and Queen County,6690,0.53,0.47,48,3.5,66,24.2,0.3,0,0,1.1,4.9,3452,61672,2.94,88,21,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2803,84.8,68.32
0500000US51099,King George County,26597,0.51,0.49,38,6,71.4,16.5,0.1,1.2,0,1.2,3.7,10248,101599,2.78,92,35,"20,673",68.4,"4,567",69.1,"13,509",35.1,95.3,82.5,28,9445,95.38,90.16
0500000US51101,King William County,17511,0.5,0.5,41,2.9,77.2,15.1,0.9,1.4,0.1,0,2.4,7304,74592,2.18,93,25,"13,930",68.2,"2,536",82.3,"9,199",38.2,94.6,80.2,29.7,6667,92.35,75.01
0500000US51103,Lancaster County,10916,0.48,0.52,57,1,67.1,29.1,0,0.9,0,0,2,7454,64460,3.55,90,33,"9,455",47.7,"1,231",67.2,"3,954",29.1,92.2,70,49.3,5197,80.03,73.77
0500000US51105,Lee County,22482,0.53,0.47,46,2,92.9,3.7,0.1,0.3,0,0,1,10947,37574,9.49,80,11,"18,937",41.6,"2,372",68.5,"6,845",27.3,89.2,48.3,56.2,8244,81.56,56.66
0500000US51107,Loudoun County,413574,0.5,0.5,37,13.7,54.1,7.3,0.2,19.9,0.1,0.5,4.1,139439,156821,2.95,94,63,"311,655",74.6,"78,030",74.7,"220,693",33.1,94.5,87.5,15.1,135690,98.24,96.29
